model,dataset,selector,contrast,diff,ci_low,ci_high,p_boot,n
llama3-8b,gpqa,fixed,intact_minus_broker_random,0.2,0.0,0.5,0.228,10
llama3-8b,gpqa,fixed,intact_minus_broker_svd,-0.1,-0.3,0.0,0.693,10
llama3-8b,gpqa,fixed,intact_minus_matched_nonrole_random,-0.1,-0.5,0.3,0.823,10
llama3-8b,gpqa,fixed,intact_minus_settlement_random,0.0,0.0,0.0,1.0,10
llama3-8b,gpqa,fixed,intact_minus_settlement_svd,0.0,0.0,0.0,1.0,10
llama3-8b,hotpot-qa,fixed,intact_minus_broker_random,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.003,7
llama3-8b,hotpot-qa,fixed,intact_minus_broker_svd,0.14285714285714285,0.0,0.42857142857142855,0.675,7
llama3-8b,hotpot-qa,fixed,intact_minus_matched_nonrole_random,0.2857142857142857,-0.2857142857142857,0.7142857142857143,0.44,7
llama3-8b,hotpot-qa,fixed,intact_minus_settlement_random,0.0,0.0,0.0,1.0,7
llama3-8b,hotpot-qa,fixed,intact_minus_settlement_svd,0.0,0.0,0.0,1.0,7
qwen3-8b,aime,fixed,intact_minus_broker_random,0.0,0.0,0.0,1.0,7
qwen3-8b,aime,fixed,intact_minus_broker_svd,0.0,0.0,0.0,1.0,7
qwen3-8b,aime,fixed,intact_minus_matched_nonrole_random,0.0,0.0,0.0,1.0,7
qwen3-8b,aime,fixed,intact_minus_settlement_random,0.0,0.0,0.0,1.0,7
qwen3-8b,aime,fixed,intact_minus_settlement_svd,0.0,0.0,0.0,1.0,7
qwen3-8b,gpqa,fixed,intact_minus_broker_random,0.5625,0.3125,0.8125,0.0,16
qwen3-8b,gpqa,fixed,intact_minus_broker_svd,-0.0625,-0.1875,0.0,0.682,16
qwen3-8b,gpqa,fixed,intact_minus_matched_nonrole_random,0.0625,-0.25,0.375,0.872,16
qwen3-8b,gpqa,fixed,intact_minus_settlement_random,0.0,0.0,0.0,1.0,16
qwen3-8b,gpqa,fixed,intact_minus_settlement_svd,0.0,0.0,0.0,1.0,16
qwen3-8b,hotpot-qa,fixed,intact_minus_broker_random,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.0,13
qwen3-8b,hotpot-qa,fixed,intact_minus_broker_svd,0.0,0.0,0.0,1.0,13
qwen3-8b,hotpot-qa,fixed,intact_minus_matched_nonrole_random,0.38461538461538464,0.15384615384615385,0.6153846153846154,0.003,13
qwen3-8b,hotpot-qa,fixed,intact_minus_settlement_random,0.0,0.0,0.0,1.0,13
qwen3-8b,hotpot-qa,fixed,intact_minus_settlement_svd,0.0,0.0,0.0,1.0,13
qwen3-8b,math500,fixed,intact_minus_broker_random,0.0,0.0,0.0,1.0,14
qwen3-8b,math500,fixed,intact_minus_broker_svd,0.0,0.0,0.0,1.0,14
qwen3-8b,math500,fixed,intact_minus_matched_nonrole_random,0.0,0.0,0.0,1.0,14
qwen3-8b,math500,fixed,intact_minus_settlement_random,0.0,0.0,0.0,1.0,14
qwen3-8b,math500,fixed,intact_minus_settlement_svd,0.0,0.0,0.0,1.0,14
