model,dataset,selector,condition,n_rows,accuracy,mean_f1,median_seconds,median_peak_memory_gb
llama3-8b,gpqa,fixed,broker_random,10,0.2,0.10260326086956521,13.812426869524643,7.157145977020264
llama3-8b,gpqa,fixed,broker_svd,10,0.5,0.43431372549019603,1.0327158864820376,7.167399883270264
llama3-8b,gpqa,fixed,intact,10,0.4,0.33431372549019606,1.422112447093241,7.141520977020264
llama3-8b,gpqa,fixed,matched_nonrole_random,10,0.5,0.41121621621621623,0.9610774930333719,7.149333477020264
llama3-8b,gpqa,fixed,settlement_random,10,0.4,0.33431372549019606,0.94737843493931,7.149333477020264
llama3-8b,gpqa,fixed,settlement_svd,10,0.4,0.33431372549019606,1.0284008040325716,7.141520977020264
llama3-8b,hotpot-qa,fixed,broker_random,7,0.0,0.0,0.5115009471774101,7.421658039093018
llama3-8b,hotpot-qa,fixed,broker_svd,7,0.42857142857142855,0.3888888888888889,0.7357103601098061,7.845581531524658
llama3-8b,hotpot-qa,fixed,intact,7,0.5714285714285714,0.4761904761904762,0.8733657549601048,7.406033039093018
llama3-8b,hotpot-qa,fixed,matched_nonrole_random,7,0.2857142857142857,0.087337499102205,1.1045710570178926,7.413845539093018
llama3-8b,hotpot-qa,fixed,settlement_random,7,0.5714285714285714,0.42857142857142855,0.8946542940102518,7.827515125274658
llama3-8b,hotpot-qa,fixed,settlement_svd,7,0.5714285714285714,0.4761904761904762,0.6757372601423413,7.406033039093018
qwen3-8b,aime,fixed,broker_random,7,0.0,0.0,20.50435085501522,8.11373519897461
qwen3-8b,aime,fixed,broker_svd,7,0.0,0.0,21.474452774971724,8.12398910522461
qwen3-8b,aime,fixed,intact,7,0.0,0.0,11.275848245015368,8.09811019897461
qwen3-8b,aime,fixed,matched_nonrole_random,7,0.0,0.0,22.142669649096206,8.19967269897461
qwen3-8b,aime,fixed,settlement_random,7,0.0,0.0,21.10035493108444,8.10592269897461
qwen3-8b,aime,fixed,settlement_svd,7,0.0,0.0,22.014169120928273,8.10592269897461
qwen3-8b,gpqa,fixed,broker_random,16,0.0,0.037081643002028396,15.51082658546511,8.138392448425293
qwen3-8b,gpqa,fixed,broker_svd,16,0.625,0.62890625,2.053301507025026,8.148646354675293
qwen3-8b,gpqa,fixed,intact,16,0.5625,0.6209239130434783,1.2728328270604834,8.122767448425293
qwen3-8b,gpqa,fixed,matched_nonrole_random,16,0.5,0.5025655594405595,2.857843466452323,8.224329948425293
qwen3-8b,gpqa,fixed,settlement_random,16,0.5625,0.6209239130434783,2.1323245669482276,8.130579948425293
qwen3-8b,gpqa,fixed,settlement_svd,16,0.5625,0.6209239130434783,2.070134629961103,8.130579948425293
qwen3-8b,hotpot-qa,fixed,broker_random,13,0.0,0.004273504273504273,10.089884968940169,8.361775875091553
qwen3-8b,hotpot-qa,fixed,broker_svd,13,0.6153846153846154,0.6632478632478632,0.7455184129066765,8.372029781341553
qwen3-8b,hotpot-qa,fixed,intact,13,0.6153846153846154,0.6051282051282051,0.823163254885003,8.346150875091553
qwen3-8b,hotpot-qa,fixed,matched_nonrole_random,13,0.23076923076923078,0.21978021978021978,1.3129536851774901,8.447713375091553
qwen3-8b,hotpot-qa,fixed,settlement_random,13,0.6153846153846154,0.6051282051282051,0.9035277580842376,8.353963375091553
qwen3-8b,hotpot-qa,fixed,settlement_svd,13,0.6153846153846154,0.6051282051282051,0.8513279459439218,8.353963375091553
qwen3-8b,math500,fixed,broker_random,14,0.0,0.0,22.04803741897922,8.137012481689453
qwen3-8b,math500,fixed,broker_svd,14,0.0,0.0,12.076054505887441,8.147266387939453
qwen3-8b,math500,fixed,intact,14,0.0,0.0,12.326542744063772,8.121387481689453
qwen3-8b,math500,fixed,matched_nonrole_random,14,0.0,0.0,20.67608161061071,8.222949981689453
qwen3-8b,math500,fixed,settlement_random,14,0.0,0.0,10.599995559081435,8.129199981689453
qwen3-8b,math500,fixed,settlement_svd,14,0.0,0.0,22.042688514571637,8.129199981689453
