model,dataset,failure_class,n
llama3-8b,aime,F3 wrong_community,28
llama3-8b,aime,F1 over_conservative,13
llama3-8b,aime,F5 grading_sensitive_or_symbolic,9
llama3-8b,aime,S0 selected_success,1
llama3-8b,gpqa,F3 wrong_community,36
llama3-8b,gpqa,S0 selected_success,20
llama3-8b,gpqa,F1 over_conservative,16
llama3-8b,gpqa,F5 grading_sensitive_or_symbolic,3
llama3-8b,gsm8k,S0 selected_success,58
llama3-8b,gsm8k,F6 residual_failure,9
llama3-8b,gsm8k,F1 over_conservative,5
llama3-8b,gsm8k,F3 wrong_community,3
llama3-8b,hotpot-qa,S0 selected_success,44
llama3-8b,hotpot-qa,F3 wrong_community,26
llama3-8b,hotpot-qa,F1 over_conservative,5
llama3-8b,math500,S0 selected_success,43
llama3-8b,math500,F3 wrong_community,18
llama3-8b,math500,F1 over_conservative,8
llama3-8b,math500,F5 grading_sensitive_or_symbolic,5
llama3-8b,math500,F2 over_disruptive,1
llama3-8b,mmlu-pro,S0 selected_success,34
llama3-8b,mmlu-pro,F3 wrong_community,15
llama3-8b,mmlu-pro,F6 residual_failure,14
llama3-8b,mmlu-pro,F1 over_conservative,12
llama3-8b,sci-qa,S0 selected_success,57
llama3-8b,sci-qa,F3 wrong_community,15
llama3-8b,sci-qa,F1 over_conservative,3
qwen3-4b,aime,F3 wrong_community,34
qwen3-4b,aime,F1 over_conservative,13
qwen3-4b,aime,S0 selected_success,3
qwen3-4b,aime,F2 over_disruptive,1
qwen3-4b,gpqa,S0 selected_success,34
qwen3-4b,gpqa,F3 wrong_community,29
qwen3-4b,gpqa,F1 over_conservative,12
qwen3-4b,gsm8k,S0 selected_success,68
qwen3-4b,gsm8k,F3 wrong_community,5
qwen3-4b,gsm8k,F1 over_conservative,2
qwen3-4b,hotpot-qa,S0 selected_success,49
qwen3-4b,hotpot-qa,F3 wrong_community,20
qwen3-4b,hotpot-qa,F1 over_conservative,4
qwen3-4b,hotpot-qa,F2 over_disruptive,2
qwen3-4b,math500,S0 selected_success,59
qwen3-4b,math500,F1 over_conservative,7
qwen3-4b,math500,F3 wrong_community,7
qwen3-4b,math500,F2 over_disruptive,2
qwen3-4b,mmlu-pro,S0 selected_success,43
qwen3-4b,mmlu-pro,F3 wrong_community,23
qwen3-4b,mmlu-pro,F1 over_conservative,7
qwen3-4b,mmlu-pro,F2 over_disruptive,2
qwen3-4b,sci-qa,S0 selected_success,62
qwen3-4b,sci-qa,F3 wrong_community,9
qwen3-4b,sci-qa,F1 over_conservative,3
qwen3-4b,sci-qa,F2 over_disruptive,1
qwen3-8b,aime,F1 over_conservative,42
qwen3-8b,aime,S0 selected_success,9
qwen3-8b,gpqa,S0 selected_success,39
qwen3-8b,gpqa,F1 over_conservative,36
qwen3-8b,gsm8k,S0 selected_success,65
qwen3-8b,gsm8k,F1 over_conservative,10
qwen3-8b,hotpot-qa,S0 selected_success,55
qwen3-8b,hotpot-qa,F1 over_conservative,20
qwen3-8b,math500,S0 selected_success,67
qwen3-8b,math500,F1 over_conservative,8
qwen3-8b,mmlu-pro,S0 selected_success,48
qwen3-8b,mmlu-pro,F1 over_conservative,27
qwen3-8b,sci-qa,S0 selected_success,56
qwen3-8b,sci-qa,F1 over_conservative,19
