selector,n_queries,raw_acc,top1_acc,pass3,pass5,pass10,mean_at_5,median_selected_tokens,condition,n_features
drop_evidence_broker_retrieval,226,0.6025073849557523,0.6548672566371682,0.8141592920353983,0.8539823008849557,0.8893805309734514,0.6584070796460177,183.0,drop_evidence_broker_retrieval,109
drop_mediator,226,0.6025073849557523,0.668141592920354,0.8008849557522124,0.8495575221238938,0.8893805309734514,0.6575221238938053,182.0,drop_mediator,114
random_role_weights,226,0.6025073849557523,0.6548672566371682,0.7964601769911505,0.8495575221238938,0.8761061946902655,0.6530973451327434,182.5,random_role_weights,118
drop_settlement_stabilizer,226,0.6025073849557523,0.6814159292035398,0.7920353982300885,0.8451327433628318,0.9026548672566371,0.6477876106194691,184.5,drop_settlement_stabilizer,110
full_method,226,0.6025073849557523,0.6814159292035398,0.8053097345132744,0.8362831858407079,0.8938053097345132,0.6469026548672566,182.5,full_method,117
drop_veto_gate,226,0.6025073849557523,0.6504424778761062,0.7831858407079646,0.8362831858407079,0.8849557522123894,0.6433628318584071,194.5,drop_veto_gate,116
drop_role_depth_priors,226,0.6025073849557523,0.6637168141592921,0.7787610619469026,0.831858407079646,0.8805309734513275,0.6495575221238938,200.0,drop_role_depth_priors,102
drop_reconstruction_guard_skeptic,226,0.6025073849557523,0.6637168141592921,0.7876106194690266,0.8230088495575221,0.8761061946902655,0.6442477876106195,183.0,drop_reconstruction_guard_skeptic,100
stability_only,226,0.6025073849557523,0.6238938053097345,0.7389380530973452,0.7876106194690266,0.8362831858407079,0.615929203539823,178.0,stability_only,9
reconstruction_only,226,0.6025073849557523,0.5796460176991151,0.7079646017699115,0.7610619469026548,0.831858407079646,0.595575221238938,191.0,reconstruction_only,6
