selector,n_queries,raw_acc,top1_acc,pass3,pass5,pass10,mean_at_5,median_selected_tokens,candidate_auc,candidate_average_precision,candidate_brier_minmax
oracle_selector,226,0.6025073849557523,0.9424778761061948,0.9424778761061948,0.9424778761061948,0.9424778761061948,0.868141592920354,191.5,1.0,1.0,1.0000000000339897e-12
extra_trees_router,226,0.6025073849557523,0.6150442477876106,0.7876106194690266,0.8362831858407079,0.8761061946902655,0.6327433628318584,177.0,0.8909027514466985,0.9214475245265736,0.1307775234142847
fixed_transfer_law,226,0.6025073849557523,0.6327433628318584,0.7743362831858407,0.8230088495575221,0.8628318584070797,0.5973451327433629,194.5,0.5097737563251801,0.6073528668731208,0.3471385232097902
best_global_fixed_law,226,0.6025073849557523,0.6327433628318584,0.7743362831858407,0.8230088495575221,0.8628318584070797,0.5973451327433629,194.5,0.5097737563251801,0.6073528668731208,0.3471385232097902
model_specific_fixed_law,226,0.6025073849557523,0.6327433628318584,0.7743362831858407,0.8230088495575221,0.8628318584070797,0.5973451327433629,194.5,0.5097737563251801,0.6073528668731208,0.3471385232097902
cost_aware_cost_aware_lambda_0.02,226,0.6025073849557523,0.6548672566371682,0.7566371681415929,0.8185840707964602,0.8893805309734514,0.6398230088495575,199.0,0.9065914422202532,0.9367070685021348,0.1213188671812414
cost_aware_cost_aware_lambda_0.05,226,0.6025073849557523,0.6548672566371682,0.7566371681415929,0.8185840707964602,0.8761061946902655,0.6371681415929203,194.0,0.9063807349090792,0.9365920870944504,0.1215888953048695
cost_aware_cost_aware_lambda_0.10,226,0.6025073849557523,0.6637168141592921,0.7654867256637168,0.8141592920353983,0.8716814159292036,0.6371681415929203,181.0,0.9057455500622617,0.936278079995032,0.1227274719375062
tree_hgb_router,226,0.6025073849557523,0.6548672566371682,0.7610619469026548,0.8141592920353983,0.8849557522123894,0.6415929203539823,200.0,0.9066494527418882,0.9367474171034706,0.1212669917492735
cost_aware_cost_aware_lambda_0.00,226,0.6025073849557523,0.6548672566371682,0.7610619469026548,0.8141592920353983,0.8849557522123894,0.6415929203539823,200.0,0.9066494527418882,0.9367474171034706,0.1212669917492735
raw_dense,226,0.6025073849557523,0.5929203539823009,0.7654867256637168,0.8141592920353983,0.8584070796460177,0.5823008849557523,188.5,0.8564796194805511,0.8600070579693492,0.1506547651495916
benchmark_specific_fixed_law,226,0.6025073849557523,0.6194690265486725,0.7566371681415929,0.8097345132743363,0.831858407079646,0.6088495575221239,190.5,0.5097456884214484,0.6024084703638705,0.3660448879554725
random_topology_selector,226,0.6025073849557523,0.5752212389380531,,0.8013716814159293,,0.577778761061947,,,,
cost_aware_cost_aware_lambda_0.20,226,0.6025073849557523,0.6548672566371682,0.7654867256637168,0.8008849557522124,0.8628318584070797,0.6292035398230088,168.5,0.904257291053864,0.9354514589178176,0.126820695466075
cost_aware_cost_aware_lambda_0.35,226,0.6025073849557523,0.6415929203539823,0.7522123893805309,0.8008849557522124,0.8628318584070797,0.6274336283185841,163.5,0.9006058231262629,0.9335519699634668,0.135419279755466
pairwise_ranking_router,226,0.6025073849557523,0.6194690265486725,0.7522123893805309,0.8008849557522124,0.8495575221238938,0.607079646017699,206.5,0.5730762000019012,0.6457887022946396,0.2495436498239934
